,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
114,157,2,2023,north tu liem,4.1,82.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,So hong
115,158,2,2023,south tu liem,3.2,61.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
116,159,2,2023,south tu liem,2.2,42.0,can ho chung cu,5.0,1.0,12.5,1.0,1.0,KXĐ
117,160,2,2023,south tu liem,1.5,28.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
118,161,3,2023,south tu liem,3.0,75.0,can ho chung cu,5.0,2.0,9.0,4.0,1.0,So hong
119,162,2,2023,gia lam,1.43,70.0,can ho chung cu,12.0,2.0,12.5,2.0,1.0,So hong
120,163,3,2023,dong da,1.25,40.0,can ho chung cu,2.0,1.0,12.5,1.0,1.0,So hong
121,164,3,2023,thanh xuan,1.85,60.0,can ho chung cu,5.0,1.0,5.0,2.0,1.0,So hong
122,165,3,2023,thanh xuan,2.4,63.0,can ho chung cu,5.0,1.0,10.0,2.0,1.0,So hong
123,166,3,2023,thanh tri,3.299,127.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
124,167,3,2023,cau giay,1.55,42.0,can ho chung cu,7.0,1.0,12.5,1.0,1.0,So hong
125,168,2,2023,dong da,1.39,45.0,can ho chung cu,2.0,1.0,12.5,1.0,1.0,So hong
126,169,2,2023,thanh tri,3.1,127.0,can ho chung cu,5.0,3.0,12.5,4.0,1.0,So hong
127,171,2,2023,dong da,2.8,100.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
128,172,2,2023,thanh tri,3.68,141.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
129,173,2,2023,cau giay,1.9,60.0,can ho chung cu,1.0,1.0,5.0,2.0,1.0,So hong
130,174,2,2023,hoang mai,3.2,78.0,can ho chung cu,14.0,2.0,17.5,2.0,1.0,So hong
131,175,2,2023,hoang mai,1.75,60.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,So hong
132,176,2,2023,cau giay,1.6,40.0,can ho chung cu,5.0,1.0,12.5,1.0,1.0,So hong
133,177,2,2023,cau giay,2.25,65.0,can ho chung cu,5.0,1.0,12.5,2.0,1.0,Giay to hop le
134,180,2,2023,hoai duc,2.69,67.0,can ho chung cu,21.0,2.0,60.0,2.0,1.0,Hop đong
135,181,2,2023,hoai duc,3.24,80.0,can ho chung cu,21.0,2.0,60.0,3.0,1.0,So hong
136,182,2,2023,thanh xuan,1.45,45.0,can ho chung cu,1.0,1.0,12.5,1.0,1.0,So hong
137,183,2,2023,thanh xuan,9.4,235.0,can ho chung cu,21.0,2.0,12.5,4.0,1.0,So hong
138,185,2,2023,dong da,1.2,40.0,can ho chung cu,3.0,1.0,12.5,1.0,1.0,So hong
139,186,2,2023,cau giay,3.65,112.0,can ho chung cu,10.0,2.0,40.0,3.0,1.0,So hong
140,187,2,2023,hoang mai,4.58,135.0,can ho chung cu,16.0,2.0,17.5,3.0,1.0,So hong
141,188,2,2023,south tu liem,4.35,110.0,can ho chung cu,36.0,2.0,12.5,3.0,1.0,So hong
142,189,2,2023,thanh tri,3.114,127.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
143,190,2,2023,cau giay,5.78,86.0,can ho chung cu,29.0,2.0,12.5,3.0,1.0,So hong
144,191,2,2023,thanh tri,3.2,127.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
145,192,2,2023,ha dong,1.78,70.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
146,193,2,2023,thanh tri,1.0,127.0,can ho chung cu,5.0,3.0,200.0,4.0,1.0,So hong
147,194,2,2023,gia lam,1.6,62.3,can ho chung cu,5.0,1.0,10.0,2.0,1.0,Hop đong
148,199,2,2023,north tu liem,1.25,49.0,can ho chung cu,15.0,1.0,12.5,1.0,1.0,Hop đong
149,200,2,2023,gia lam,0.9,31.2,can ho chung cu,5.0,2.0,12.5,2.0,2.0,So hong
150,201,2,2023,gia lam,2.56,71.2,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
151,202,2,2023,dong da,1.52,50.0,can ho chung cu,3.0,1.0,5.0,2.0,1.0,So hong
152,203,2,2023,gia lam,1.62,60.0,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
153,204,2,2023,thanh xuan,2.5,55.0,can ho chung cu,5.0,1.0,10.0,2.0,1.0,So hong
154,205,2,2023,gia lam,0.92,31.2,can ho chung cu,5.0,2.0,12.5,2.0,1.0,So hong
155,206,2,2023,cau giay,0.158,44.0,can ho chung cu,2.0,1.0,12.5,2.0,1.0,So hong
156,207,2,2023,cau giay,1.75,55.0,can ho chung cu,6.0,1.0,12.5,2.0,1.0,So hong
157,208,2,2023,south tu liem,2.65,86.2,can ho chung cu,7.0,2.0,12.5,2.0,1.0,So hong
158,209,2,2023,south tu liem,1.15,33.0,can ho chung cu,5.0,1.0,12.5,1.0,1.0,KXĐ
159,210,2,2023,hoai duc,3.765,95.0,can ho chung cu,3.0,2.0,60.0,3.0,1.0,So hong
160,211,2,2023,dong da,4.3,134.0,can ho chung cu,8.0,2.0,12.5,3.0,1.0,So hong
161,212,2,2023,cau giay,3.4,90.0,can ho chung cu,16.0,2.0,12.5,3.0,1.0,So hong
162,213,2,2023,hoang mai,0.33,135.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,Giay to hop le
163,214,2,2023,dong da,2.58,70.0,can ho chung cu,2.0,1.0,12.5,3.0,1.0,So hong
164,215,2,2023,ba dinh,2.45,78.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,So hong
165,216,2,2023,cau giay,4.7,100.0,can ho chung cu,6.0,2.0,12.5,3.0,1.0,So hong
166,217,2,2023,cau giay,4.98,133.0,can ho chung cu,6.0,2.0,12.5,3.0,1.0,So hong
167,219,2,2023,thanh tri,3.59,141.0,can ho chung cu,25.0,3.0,12.5,4.0,1.0,So hong
168,220,2,2023,thanh tri,2.93,107.0,can ho chung cu,25.0,2.0,12.5,3.0,1.0,So hong
169,221,2,2023,thanh tri,2.9,106.0,can ho chung cu,25.0,2.0,12.5,3.0,1.0,So hong
170,222,2,2023,hai ba trung,3.1,105.0,can ho chung cu,5.0,2.0,12.5,3.0,1.0,KXĐ
171,223,1,2023,south tu liem,3.3,102.0,can ho chung cu,6.0,2.0,12.5,3.0,1.0,So hong
172,224,1,2023,cau giay,3.3,85.0,can ho chung cu,12.0,2.0,12.5,2.0,1.0,So hong
173,225,1,2023,cau giay,2.98,72.0,can ho chung cu,16.0,2.0,12.5,2.0,1.0,So hong
174,226,1,2023,thanh xuan,1.1,40.0,can ho chung cu,2.0,1.0,12.5,1.0,1.0,So hong
175,228,1,2023,cau giay,4.65,85.0,can ho chung cu,9.0,2.0,12.5,3.0,1.0,So hong
176,229,1,2023,hai ba trung,4.2,74.0,can ho chung cu,5.0,2.0,12.5,4.0,1.0,KXĐ
177,230,1,2023,cau giay,2.4,65.0,can ho chung cu,11.0,2.0,12.5,2.0,1.0,So hong
178,231,1,2023,cau giay,3.75,140.0,can ho chung cu,10.0,2.0,12.5,3.0,1.0,So hong
