,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
169,2,2023,thanh tri,2.9,106.0,căn hộ chung cư,25.0,2.0,,3.0,1.0,Yes
170,2,2023,hai ba trung,3.1,105.0,căn hộ chung cư,,,,3.0,,Not provided
171,1,2023,south tu liem,3.3,102.0,căn hộ chung cư,6.0,2.0,,3.0,1.0,Yes
172,1,2023,cau giay,3.3,85.0,căn hộ chung cư,12.0,2.0,,2.0,,Yes
173,1,2023,cau giay,2.98,72.0,căn hộ chung cư,16.0,2.0,,2.0,1.0,Yes
174,1,2023,thanh xuan,1.1,40.0,căn hộ chung cư,2.0,1.0,,1.0,,Yes
175,1,2023,cau giay,4.65,85.0,căn hộ chung cư,9.0,2.0,,3.0,,Yes
176,1,2023,hai ba trung,4.2,74.0,căn hộ chung cư,,,,,,Not provided
177,1,2023,cau giay,2.4,65.0,căn hộ chung cư,11.0,2.0,,2.0,,Yes
178,1,2023,cau giay,3.75,140.0,căn hộ chung cư,10.0,2.0,,3.0,,Yes
179,1,2023,hoang mai,3.3,100.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
180,1,2023,thanh xuan,5.0,97.0,căn hộ chung cư,,2.0,,3.0,,Yes
181,1,2023,cau giay,2.1,65.0,căn hộ chung cư,11.0,1.0,,2.0,1.0,Yes
182,1,2023,cau giay,4.25,88.0,căn hộ chung cư,35.0,2.0,40.0,2.0,1.0,Yes
183,1,2023,cau giay,2.8,75.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
184,1,2023,south tu liem,5.5,137.0,căn hộ chung cư,19.0,3.0,,3.0,,Yes
185,1,2023,thanh xuan,7.2,132.0,căn hộ chung cư,,3.0,,3.0,1.0,Yes
186,1,2023,dong da,2.1,52.0,căn hộ chung cư,26.0,1.0,,1.0,,Yes
187,1,2023,south tu liem,2.95,135.0,căn hộ chung cư,11.0,2.0,,3.0,,Yes
188,1,2023,south tu liem,2.95,65.0,căn hộ chung cư,17.0,2.0,,2.0,,Yes
189,1,2023,cau giay,3.65,110.0,căn hộ chung cư,11.0,2.0,,3.0,,Yes
190,1,2023,cau giay,2.35,62.0,căn hộ chung cư,11.0,1.0,17.5,2.0,,Yes
191,1,2023,thanh xuan,8.3,47.0,căn hộ chung cư,1.0,,,,,Yes
192,1,2023,south tu liem,6.2,100.0,căn hộ chung cư,3.0,,,,,Yes
193,1,2023,long bien,0.38,66.0,căn hộ chung cư,3.0,2.0,,2.0,1.0,Yes
194,1,2023,south tu liem,4.25,143.0,căn hộ chung cư,10.0,3.0,,3.0,,Yes
195,1,2023,cau giay,5.5,132.0,căn hộ chung cư,14.0,2.0,,3.0,,Yes
196,1,2023,south tu liem,5.45,136.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
197,1,2023,cau giay,2.57,64.0,căn hộ chung cư,5.0,2.0,,2.0,,Yes
198,1,2023,south tu liem,1.99,54.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
199,1,2023,south tu liem,2.0,54.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
200,1,2023,dong anh,1.9,72.9,căn hộ chung cư,1.0,1.0,8.0,2.0,1.0,Yes
201,1,2023,south tu liem,2.1,54.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
202,1,2023,south tu liem,2.0,54.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
203,1,2023,south tu liem,2.75,86.0,căn hộ chung cư,8.0,2.0,25.0,2.0,1.0,Yes
204,1,2023,south tu liem,2.45,55.0,căn hộ chung cư,26.0,1.0,60.0,2.0,1.0,Yes
205,1,2023,south tu liem,1.8,32.0,căn hộ chung cư,,1.0,40.0,1.0,1.0,Yes
206,1,2023,south tu liem,2.5,37.0,căn hộ chung cư,12.0,1.0,40.0,1.0,1.0,Yes
207,1,2023,south tu liem,3.2,118.0,căn hộ chung cư,22.0,2.0,,3.0,1.0,Yes
208,1,2023,ha dong,2.6,54.0,căn hộ chung cư,41.0,,60.0,2.0,1.0,Yes
209,1,2023,south tu liem,0.315,95.0,căn hộ chung cư,15.0,2.0,25.0,3.0,,Yes
210,1,2023,thanh xuan,2.65,76.0,căn hộ chung cư,5.0,1.0,,2.0,,Yes
211,1,2023,cau giay,2.6,62.0,căn hộ chung cư,5.0,1.0,12.5,2.0,,Yes
212,1,2023,south tu liem,1.95,60.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
213,1,2023,hoang mai,3.6,139.0,căn hộ chung cư,15.0,2.0,17.5,3.0,2.0,Yes
214,4,2022,south tu liem,5.0,130.0,căn hộ chung cư,16.0,2.0,,3.0,,Yes
215,4,2022,gia lam,3.8,98.0,căn hộ chung cư,,2.0,25.0,3.0,1.0,Yes
216,4,2022,dong anh,2.13,77.0,căn hộ chung cư,,,,,,Not provided
217,4,2022,ha dong,3.8,143.0,căn hộ chung cư,,,,,,Yes
218,4,2022,hoang mai,3.95,95.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
219,4,2022,hoang mai,2.5,82.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes
220,4,2022,tay ho,4.325,100.0,căn hộ chung cư,,2.0,,3.0,,Yes
221,4,2022,hai ba trung,4.75,118.0,căn hộ chung cư,22.0,2.0,,3.0,,Yes
222,4,2022,hoang mai,5.5,131.0,căn hộ chung cư,,,17.5,,,Yes
223,4,2022,cau giay,5.125,86.0,căn hộ chung cư,,,,,,Not provided
224,4,2022,tay ho,2.6,67.0,căn hộ chung cư,,2.0,,2.0,1.0,Yes
225,4,2022,south tu liem,3.8,64.0,căn hộ chung cư,,2.0,,2.0,,Yes
