,Day,Month,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document,Latitude,Longitude
2827,1,8,2023,ba đình,4.4,54.0,căn hộ chung cư,,,,,,Not provided,21.0191709340664,105.81582817406613
2828,2,8,2023,ba đình,11.0,123.0,căn hộ chung cư,,2.0,,3.0,1.0,Not provided,21.01919392142484,105.815729709787
2829,3,8,2023,,5.2,107.0,căn hộ chung cư,,2.0,,3.0,,Not provided,21.08237691577186,105.79189011275024
2830,2,8,2023,hoàng mai,1.34,56.0,căn hộ chung cư,,2.0,,2.0,,Yes,20.9625316,105.8399127
2831,3,8,2023,long biên,3.3,103.0,căn hộ chung cư,,,,,,Not provided,21.0526345,105.8996408
2832,3,8,2023,hà đông,1.3,63.0,căn hộ chung cư,12.0,2.0,,2.0,1.0,Yes,20.9528073,105.7850022
2833,3,8,2023,gia lâm,6.5,75.0,căn hộ chung cư,30.0,2.0,40.0,3.0,1.0,Yes,20.9803677,105.9523622
2834,8,8,2023,,3.9,84.0,căn hộ chung cư,,2.0,,3.0,1.0,Yes,21.0497467,105.7808629
2835,8,8,2023,long biên,3.7,101.0,căn hộ chung cư,,,,,,Not provided,21.0655013,105.8883137
2836,7,8,2023,long biên,3.8,82.0,căn hộ chung cư,,,,,,Not provided,21.0371784,105.8730678
2837,9,8,2023,long biên,4.3,101.0,căn hộ chung cư,,,,,,Not provided,10.876248,106.660338
2838,11,8,2023,long biên,1.95,76.0,căn hộ chung cư,13.0,2.0,17.5,2.0,1.0,Yes,10.876248,106.660338
