price,price_per_area,land_area,floor_area,type,bedrooms,bathrooms,address,direction,floor,law_doc,furniture,entrance,project,post_date,id,Ban công,Sân vườn,Chỗ đậu xe hơi,Nuôi thú cưng,Phòng cho giúp việc,Phòng giải trí,Quầy minibar,Tầng hầm,Góc làm việc,Nhà kho,Gym,Hồ bơi riêng,Giếng trời
8.5,85.0,100.3,178.6,Nhà phố,4,3,"Nguyễn Cảnh Dị, Phường 4, Tân Bình",Bắc,3,0,2,KXĐ,KXĐ,2023-05-22,TTB160705,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,174.36,39.5,101.0,Nhà phố,3,3,"Duy Tân, Phường 15, Phú Nhuận",Tây Nam,3,0,2,3m,KXĐ,2023-08-25,TPN186391,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,264.71,17.9,35.8,Nhà phố,1,1,"Đề Thám, Phạm Ngũ Lão, Quận 1",Đông Bắc,2,0,2,KXĐ,KXĐ,2023-08-21,T01137915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,117.39,23.0,59.9,Nhà phố,2,2,"Tôn Đản, Phường 10, Quận 4",Tây Bắc,3,0,2,3.42m,KXĐ,2023-08-25,T04149472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,142.86,238.2,239.2,Nhà phố,4,1,"Nguyễn Văn Quá, Đông Hưng Thuận, Quận 12",Đông,1,0,0,KXĐ,KXĐ,2023-05-22,T12160831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,171.43,42.6,126.0,Nhà phố,4,4,"Lê Văn Sỹ, Phường 11, Phú Nhuận",Tây Bắc,3,0,2,3.5m,KXĐ,2023-08-25,T03186392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,126.09,46.7,84.5,Nhà phố,1,1,"Nguyễn Cửu Vân, Phường 17, Bình Thạnh",Đông Bắc,2,0,2,KXĐ,KXĐ,2023-08-25,TBT141694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,185.29,34.6,121.7,Nhà phố,3,3,"Cách Mạng Tháng 8, Phường 15, Quận 10",Tây Nam,3,0,1,KXĐ,KXĐ,2023-08-22,T1091815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,278.48,79.6,312.7,Nhà phố,7,8,"Bạch Đằng, Phường 24, Bình Thạnh",Nam,5,0,2,14.5m,KXĐ,2023-08-24,TBT84136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,518.52,27.3,115.5,Nhà phố,5,4,"Nguyễn Cảnh Chân, Cầu Kho, Quận 1",Đông Bắc,4,0,1,10m,KXĐ,2023-08-25,T01149490,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,150.79,126.0,105.0,Nhà phố,5,5,"Nguyễn Xiển, Long Thạnh Mỹ, Quận 9",Đông Nam,5,1,-1,KXĐ,Vinhomes Grand Park,2023-08-27,T09159616,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,614.04,114.0,570.0,Nhà phố,4,4,"Số 3, An Lợi Đông, Quận 2",Đông Nam,4,1,0,30m,KXĐ,2023-08-21,T02163682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
