,ID,Quarter,Year,District,Price (billion VND),Area (m2),Property Type,Floors,Bathrooms,Entrance (m2),Bedrooms,Living Rooms,Law Document
7403,10529,3,2023,south tu liem,4.3,45.0,nha rieng,5.0,4.0,,3.0,1.0,Giay đo
7404,10530,3,2023,south tu liem,4.15,47.0,nha rieng,4.0,4.0,,4.0,1.0,Giay đo
7405,10531,3,2023,long bien,8.0,65.0,nha rieng,5.0,4.0,,4.0,1.0,Giay đo
7406,10532,3,2023,south tu liem,4.1,51.0,nha rieng,4.0,3.0,,3.0,1.0,Giay đo
7407,10533,3,2023,south tu liem,3.7,40.0,nha rieng,4.0,3.0,,4.0,1.0,Giay đo
7408,10535,3,2023,hai ba trung,13.9,580.0,nha rieng,7.0,6.0,5.0,4.0,3.0,So hong
7409,10536,3,2023,tay ho,12.5,98.0,nha rieng,3.0,3.0,4.0,3.0,1.0,Giay to hop le
7410,10537,3,2023,ba dinh,36.0,124.0,nha rieng,5.0,5.0,17.5,5.0,1.0,Giay đo
7411,10538,3,2023,tay ho,15.0,98.0,nha rieng,,,9.0,,,Giay đo
7412,10539,3,2023,tay ho,20.0,100.0,nha rieng,4.0,5.0,2.0,6.0,1.0,Giay đo
7413,10540,3,2023,dong da,2.15,50.0,nha rieng,1.0,1.0,5.0,2.0,1.0,So hong
7414,10541,3,2023,dong anh,2.55,40.0,nha rieng,,,,,,not provided
7415,10542,3,2023,south tu liem,4.3,45.0,nha rieng,4.0,3.0,3.0,4.0,1.0,So hong
7416,10543,3,2023,dong da,2.6,80.0,nha rieng,2.0,2.0,5.0,2.0,1.0,So hong
7417,10544,3,2023,cau giay,20.0,77.0,nha rieng,4.0,5.0,10.0,5.0,1.0,Giay đo
7418,10545,3,2023,tay ho,6.5,42.0,nha rieng,,,,,,not provided
7419,10546,3,2023,ba dinh,23.9,65.0,nha rieng,5.0,5.0,6.0,5.0,1.0,Giay đo
7420,10547,3,2023,tay ho,8.7,43.0,nha rieng,,,,,,not provided
7421,10548,3,2023,tay ho,6.8,46.0,nha rieng,,,,,,not provided
7422,10549,3,2023,tay ho,7.4,46.0,nha rieng,,,,,,not provided
7423,10550,3,2023,south tu liem,3.5,35.0,nha rieng,3.0,2.0,,3.0,1.0,So hong
7424,10551,3,2023,north tu liem,3.25,32.0,nha rieng,,4.0,3.0,6.0,1.0,So hong
7425,10552,3,2023,hoai duc,2.55,33.0,nha rieng,5.0,3.0,,3.0,1.0,So hong
